iter	Passed	Remaining
0	3	353
1	7	351
2	10	329
3	12	301
4	15	291
5	17	269
6	19	261
7	22	260
8	25	261
9	29	262
10	32	260
11	35	257
12	38	258
13	42	259
14	46	264
15	50	266
16	54	263
17	56	259
18	59	253
19	62	248
20	64	243
21	67	239
22	70	235
23	73	231
24	76	228
25	79	226
26	82	223
27	85	220
28	88	217
29	91	213
30	94	210
31	97	206
32	99	202
33	102	199
34	105	195
35	108	193
36	111	190
37	114	187
38	117	183
39	120	180
40	124	178
41	125	173
42	128	170
43	131	166
44	133	163
45	136	160
46	139	157
47	142	153
48	144	150
49	147	147
50	149	143
51	151	140
52	154	136
53	156	133
54	158	129
55	161	126
56	164	123
57	167	121
58	170	118
59	173	115
60	176	112
61	178	109
62	181	106
63	183	103
64	186	100
65	188	97
66	191	94
67	194	91
68	196	88
69	198	85
70	201	82
71	204	79
72	207	76
73	209	73
74	212	70
75	215	67
76	218	65
77	220	62
78	222	59
79	225	56
80	227	53
81	229	50
82	232	47
83	234	44
84	237	41
85	240	39
86	242	36
87	245	33
88	247	30
89	250	27
90	252	24
91	255	22
92	257	19
93	259	16
94	262	13
95	264	11
96	267	8
97	269	5
98	272	2
99	274	0
